"category_folder","category_name","category_id","sequence","product_no","title_ko","source_detail_url","local_file","bytes","status"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","6","1331","다이소","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1331&cate_no=79&display_group=1","006__1331__다이소.jpg","190166","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","7","1286","트레이더스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1286&cate_no=79&display_group=1","007__1286__트레이더스.jpg","776033","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","8","227","대한항공","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=227&cate_no=79&display_group=1","008__227__대한항공.jpg","174307","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","9","226","대한항공","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=226&cate_no=79&display_group=1","009__226__대한항공.jpg","173044","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","10","222","세븐일레븐","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=222&cate_no=79&display_group=1","010__222__세븐일레븐.jpg","175282","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","11","209","롯데마트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=209&cate_no=79&display_group=1","011__209__롯데마트.jpg","193604","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","12","205","이스타 항공","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=205&cate_no=79&display_group=1","012__205__이스타 항공.jpg","231703","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","13","188","티웨이 항공","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=188&cate_no=79&display_group=1","013__188__티웨이 항공.jpg","1585335","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","14","168","쏘카","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=168&cate_no=79&display_group=1","014__168__쏘카.jpg","596607","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","15","167","이마트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=167&cate_no=79&display_group=1","015__167__이마트.jpg","1835767","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","16","166","이마트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=166&cate_no=79&display_group=1","016__166__이마트.jpg","1854248","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","17","165","이마트","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=165&cate_no=79&display_group=1","017__165__이마트.jpg","1883660","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","18","164","제주항공","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=164&cate_no=79&display_group=1","018__164__제주항공.jpg","219628","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","19","163","제주항공","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=163&cate_no=79&display_group=1","019__163__제주항공.jpg","1631032","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","20","162","제주항공","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=162&cate_no=79&display_group=1","020__162__제주항공.jpg","1877737","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","21","160","서원유통 &amp; 동원","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=160&cate_no=79&display_group=1","021__160__서원유통 &amp; 동원.jpg","1789519","downloaded"
