"category_folder","category_name","category_id","sequence","product_no","title_ko","detail_url","original_image_url","local_file","bytes","status","error_message"
"05-other","Other","82","43","213","비발디 파크 오션월드","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=213&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/ocean20world.jpg","043__213__비발디 파크 오션월드.jpg","294489","downloaded",""
"05-other","Other","82","44","190","함소아 한의원","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=190&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/hhhh.jpg","044__190__함소아 한의원.jpg","69737","downloaded",""
"05-other","Other","82","45","189","함소아 한의원","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=189&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/hamsoa.jpg","045__189__함소아 한의원.jpg","1741043","downloaded",""
"05-other","Other","82","46","186","광주FC","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=186&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/gwanjuu-fc.jpg","046__186__광주FC.jpg","71151","downloaded",""
"05-other","Other","82","47","185","수원삼성 블루윙즈 축구단","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=185&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/suwon-samsung.jpg","047__185__수원삼성 블루윙즈 축구단.jpg","201808","downloaded",""
"05-other","Other","82","48","181","KT","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=181&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/KTstore.jpg","048__181__KT.jpg","134141","downloaded",""
"05-other","Other","82","49","180","빨간펜","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=180&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/red-pen.jpg","049__180__빨간펜.jpg","147639","downloaded",""
"05-other","Other","82","50","178","JScompany","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=178&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/JScompanyE18487E185A2E18489E185B3E18487E185A9E18490E185B3E18490E185B3E18485E185A6E1848BE185B5E186AFE18485E185A5.jpg","050__178__JScompany.jpg","780189","downloaded",""
"05-other","Other","82","51","154","키자니아","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=154&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E1848FE185B5E1848CE185A1E18482E185B5E1848BE185A1E18489E185A9E18487E185A1E186BCE1848EE185A1.jpg","051__154__키자니아.jpg","631481","downloaded",""
"05-other","Other","82","52","150","에브리타운","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=150&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E1848BE185A6E18487E185B3E18485E185B5E18490E185A1E1848BE185AEE186AB20E1848FE185A1E18491E185A6E18485E185A1E18484E185A6E1848CE185A5E186ABE18486E185AEE186ABE1848CE185A5E186B7.jpg","052__150__에브리타운.jpg","1615685","downloaded",""
"05-other","Other","82","53","149","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=149&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/LGE18490E185B3E1848BE185B1E186ABE18489E185B320E18480E185AEE18483E185A1E186ABE18487E185A5E18489E185B3.jpg","053__149__한국야구위원회 KBO.jpg","425965","downloaded",""
"05-other","Other","82","54","148","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=148&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18492E185A1E186ABE18492E185AAE1848BE185B5E18480E185B3E186AFE18489E185B320E18480E185AEE18483E185A1E186ABE18487E185A5E18489E185B3.jpg","054__148__한국야구위원회 KBO.jpg","442904","downloaded",""
"05-other","Other","82","55","147","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=147&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18480E185B5E1848BE185A1E18485E185A1E186A8E1848FE185A5E18485E185AEE186B7E18491E185A2E1848FE185B5E1848CE185B5.jpg","055__147__한국야구위원회 KBO.jpg","462595","downloaded",""
"05-other","Other","82","56","146","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=146&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18492E185A1E186ABE18492E185AAE1848BE185B5E18480E185B3E186AFE18489E185B320E18491E185B5E18480E185B2E1848BE185A5.jpg","056__146__한국야구위원회 KBO.jpg","1673746","downloaded",""
